Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Hong Kong,2019,1.438,1.277,1.122,0.44,0.258,0.287,5.43
Dominican Republic,2019,1.015,1.401,0.779,0.497,0.113,0.101,5.425
Bosnia and Herzegovina,2019,0.945,1.212,0.845,0.212,0.263,0.006,5.386
Turkey,2019,1.183,1.36,0.808,0.195,0.083,0.106,5.373
Malaysia,2019,1.221,1.171,0.828,0.508,0.26,0.024,5.339
Belarus,2019,1.067,1.465,0.789,0.235,0.094,0.142,5.323
Greece,2019,1.181,1.156,0.999,0.067,0,0.034,5.287
Mongolia,2019,0.948,1.531,0.667,0.317,0.235,0.038,5.285
North Macedonia,2019,0.983,1.294,0.838,0.345,0.185,0.034,5.274
Nigeria,2019,0.696,1.111,0.245,0.426,0.215,0.041,5.265
Kyrgyzstan,2019,0.551,1.438,0.723,0.508,0.3,0.023,5.261
Turkmenistan,2019,1.052,1.538,0.657,0.394,0.244,0.028,5.247
Algeria,2019,1.002,1.16,0.785,0.086,0.073,0.114,5.211
Morocco,2019,0.801,0.782,0.782,0.418,0.036,0.076,5.208
Azerbaijan,2019,1.043,1.147,0.769,0.351,0.035,0.182,5.208
Lebanon,2019,0.987,1.224,0.815,0.216,0.166,0.027,5.197
Indonesia,2019,0.931,1.203,0.66,0.491,0.498,0.028,5.192
China,2019,1.029,1.125,0.893,0.521,0.058,0.1,5.191
Vietnam,2019,0.741,1.346,0.851,0.543,0.147,0.073,5.175
Bhutan,2019,0.813,1.321,0.604,0.457,0.37,0.167,5.082
Cameroon,2019,0.549,0.91,0.331,0.381,0.187,0.037,5.044
Bulgaria,2019,1.092,1.513,0.815,0.311,0.081,0.004,5.011
Ghana,2019,0.611,0.868,0.486,0.381,0.245,0.04,4.996
Ivory Coast,2019,0.569,0.808,0.232,0.352,0.154,0.09,4.944
Nepal,2019,0.446,1.226,0.677,0.439,0.285,0.089,4.913
Jordan,2019,0.837,1.225,0.815,0.383,0.11,0.13,4.906
Benin,2019,0.393,0.437,0.397,0.349,0.175,0.082,4.883
Congo (Brazzaville),2019,0.673,0.799,0.508,0.372,0.105,0.093,4.812
Gabon,2019,1.057,1.183,0.571,0.295,0.043,0.055,4.799
Laos,2019,0.764,1.03,0.551,0.547,0.266,0.164,4.796
South Africa,2019,0.96,1.351,0.469,0.389,0.13,0.055,4.722
Albania,2019,0.947,0.848,0.874,0.383,0.178,0.027,4.719
Venezuela,2019,0.96,1.427,0.805,0.154,0.064,0.047,4.707
Cambodia,2019,0.574,1.122,0.637,0.609,0.232,0.062,4.7
Palestinian Territories,2019,0.657,1.247,0.672,0.225,0.103,0.066,4.696
